article_id,expr_type,value,char_offset
1053.txt,"month, relative-interval",day,700
1053.txt,"month, relative-interval", year,884
1735.txt,year,2005,87
1735.txt,year,2006,1402
1735.txt,"month, relative-interval", year,290
1735.txt,"month, relative-interval", last year,385
1735.txt,"month, relative-interval", year,633
1735.txt,"month, relative-interval", minute,1165
1735.txt,"month, relative-interval", Next year ,1192
1735.txt,season, spring ,1420
1721.txt,month, January ,1923
1721.txt,year,2003,1866
1721.txt,year,2005,1932
1721.txt,year,2006,2238
1721.txt,"month, relative-interval", last year,496
1721.txt,"month, relative-interval", Last year,2068
1721.txt,"month, relative-interval", year,2317
1047.txt,month, December ,3066
1047.txt,year,2004,3076
1047.txt,"month, relative-interval", year ,344
1047.txt,"month, relative-interval", year ,568
1047.txt,"month, relative-interval", week,1144
1047.txt,"month, relative-interval",day ,2514
1047.txt,"month, relative-interval", last year ,2721
1047.txt,"month, relative-interval", last year,2947
1047.txt,"month, relative-interval", year,3160
1047.txt,dayofweek, Monday ,3086
1709.txt,year,2004,542
289.txt,month, may ,218
289.txt,month, April ,817
289.txt,"month, relative-interval", week,394
504.txt,month, November ,583
504.txt,year, 1962,398
504.txt,year, 1998,592
504.txt,year,2002,694
504.txt,year,2004,1370
504.txt,"month, relative-interval", year,836
1090.txt,year, 1500,83
1090.txt,year, 1500,600
1090.txt,year,2008,2283
1090.txt,"month, relative-interval", next month,92
1090.txt,"month, relative-interval", hour,700
1090.txt,"month, relative-interval", last week,813
1090.txt,"month, relative-interval",day,1228
1090.txt,"month, relative-interval", year,1418
1090.txt,"month, relative-interval",year ,1974
1090.txt,"month, relative-interval", season ,2167
1090.txt,day-month, 4 March,743
262.txt,year, 1998,1257
262.txt,year,2002,1314
262.txt,year, 1996,1351
262.txt,year, 1998,1360
262.txt,"month, relative-interval", year,128
262.txt,"month, relative-interval", year,276
276.txt,month, July ,1022
276.txt,month, July ,1816
276.txt,year,2004,1028
276.txt,year,2006,2104
276.txt,year,2000,2545
276.txt,relative-year,before 2005,1998
276.txt,"month, relative-interval", year,834
276.txt,"month, relative-interval", week ,1254
276.txt,"month, relative-interval",July last year,1817
276.txt,"month, relative-interval", last year,2505
510.txt,month, march ,6
510.txt,"month, relative-interval", week,150
510.txt,"month, relative-interval", last year,579
510.txt,"month, relative-interval", week,1273
510.txt,"month, relative-interval", last week,1438
538.txt,month, December ,564
538.txt,"month, relative-interval", next year ,72
538.txt,"month, relative-interval", month ,204
538.txt,day-month, 20 December,561
1537.txt,month, may ,2243
1537.txt,month, may ,2928
1251.txt,month, November ,806
1251.txt,month, June ,1804
1251.txt,year, 1965,1055
1251.txt,year, 1999,2093
1251.txt,year,2005,3642
1251.txt,year, 1977,4015
1251.txt,year, 1985,4227
1251.txt,"month, relative-interval", year ,1
1251.txt,"month, relative-interval", year ,77
1251.txt,"month, relative-interval", year ,263
1251.txt,"month, relative-interval", year,613
1251.txt,"month, relative-interval", year ,695
1251.txt,"month, relative-interval", year ,925
1251.txt,"month, relative-interval", month,1269
1251.txt,"month, relative-interval", season ,2535
1251.txt,"month, relative-interval", year ,2669
1251.txt,"month, relative-interval", season ,2814
1251.txt,"month, relative-interval", season ,3403
1251.txt,"month, relative-interval", day,3935
1251.txt,"month, relative-interval", season,4287
1251.txt,season, autumn ,644
909.txt,"month, relative-interval", Today ,844
909.txt,"month, relative-interval", month,1296
909.txt,"month, relative-interval",day,2775
909.txt,season, summer ,1692
1245.txt,"month, relative-interval", minute,82
1245.txt,"month, relative-interval", minute,252
1523.txt,"month, relative-interval", year ,580
1523.txt,"month, relative-interval", year,837
1523.txt,"month, relative-interval",minute ,1569
921.txt,"month, relative-interval",day,1600
921.txt,"month, relative-interval", Today ,1843
921.txt,dayofweek, Sun ,1605
935.txt,"month, relative-interval", Today ,550
935.txt,"month, relative-interval", year ,922
935.txt,"month, relative-interval", year ,1681
935.txt,"month, relative-interval", year ,1697
935.txt,"month, relative-interval", week,1953
935.txt,"month, relative-interval", today,2557
935.txt,"month, relative-interval", day ,2815
935.txt,"month, relative-interval", today ,3115
935.txt,"month, relative-interval", today,3407
935.txt,season, spring ,216
1279.txt,month, February ,439
1279.txt,year,2000,659
1279.txt,"month, relative-interval",day,553
1279.txt,"month, relative-interval", month,952
1292.txt,"month, relative-interval",day,174
706.txt,year,2002,1109
706.txt,year,2004,1131
706.txt,year,2007,1235
706.txt,"month, relative-interval",day ,219
706.txt,"month, relative-interval", year,1024
712.txt,month, October ,1160
712.txt,year, 1998,1943
712.txt,year,2003,2002
712.txt,"month, relative-interval",year,149
1286.txt,"month, relative-interval",day,168
1286.txt,"month, relative-interval", last year,398
1286.txt,"month, relative-interval", last week,571
1286.txt,"month, relative-interval", season,989
1286.txt,"month, relative-interval",day,1162
1286.txt,"month, relative-interval", Noon ,1246
1443.txt,year, 1948,1557
1443.txt,"month, relative-interval",day,222
1443.txt,"month, relative-interval", last week,779
1443.txt,"month, relative-interval", last week,1360
1443.txt,"month, relative-interval", year,1485
1443.txt,day-month, 12 March,154
29.txt,year,2002,1030
29.txt,"month, relative-interval", day ,495
29.txt,"month, relative-interval", week,711
29.txt,"month, relative-interval",day ,1551
29.txt,"month, relative-interval", today,1761
29.txt,"month, relative-interval", year,1818
29.txt,"month, relative-interval", last year ,2023
1325.txt,"month, relative-interval", last month,1097
869.txt,year,2001,329
869.txt,year,2001,2356
869.txt,day-month, 11 September,314
1331.txt,month, July ,210
1331.txt,month, January ,284
1331.txt,year,2004,250
1331.txt,"month, relative-interval",year,119
1331.txt,"month, relative-interval", month,150
1331.txt,"month, relative-interval", last month,620
1331.txt,"month, relative-interval", day,1023
1331.txt,season, summer ,878
1457.txt,year,2004,293
1457.txt,year, 1500,504
1457.txt,year, 1500,740
1457.txt,year, 1500,1366
1457.txt,year, 1500,3611
1457.txt,year, 1500,3860
1457.txt,"month, relative-interval", year ,70
1457.txt,"month, relative-interval", year ,305
1457.txt,"month, relative-interval", year,1344
1457.txt,"month, relative-interval", year ,1843
1457.txt,"month, relative-interval", day,2166
1457.txt,"month, relative-interval", day,2312
1457.txt,"month, relative-interval", year,4104
15.txt,month, September ,724
15.txt,year, 1800,559
15.txt,"month, relative-interval",day,575
15.txt,"month, relative-interval",day,652
15.txt,"month, relative-interval", year,799
15.txt,"month, relative-interval",day,909
15.txt,"month, relative-interval", day,1147
15.txt,season, fall ,489
1319.txt,year,2007,1075
1319.txt,"month, relative-interval", day,617
1319.txt,"month, relative-interval", day ,933
855.txt,year, 1997,873
855.txt,year, 1997,1792
855.txt,year, 1997,2515
855.txt,year, 1997,2771
855.txt,relative-year,before 1997,2890
855.txt,"month, relative-interval", hour,441
699.txt,"month, relative-interval", hour,109
699.txt,"month, relative-interval",day,490
699.txt,"month, relative-interval", year,1239
699.txt,dayofweek, Friday ,452
699.txt,day-month, 19 November,793
841.txt,month, November ,1164
841.txt,year,2001,743
841.txt,year,2001,1876
841.txt,year,2001,2122
841.txt,year,2001,2245
841.txt,"month, relative-interval", year,892
114.txt,month, March ,197
114.txt,month, November ,302
114.txt,month, December ,319
114.txt,month, August ,638
114.txt,month, May ,986
114.txt,year,2004,329
114.txt,year,2004,646
114.txt,year,2004,991
114.txt,"month, relative-interval", year ,131
114.txt,"month, relative-interval", year ,189
114.txt,"month, relative-interval", year,255
114.txt,"month, relative-interval", year ,522
114.txt,"month, relative-interval", year,791
114.txt,"month, relative-interval",day,1078
114.txt,season, fall ,118
114.txt,season, fall ,605
672.txt,year, 1994,789
672.txt,year,2001,2435
672.txt,"month, relative-interval", year,93
672.txt,"month, relative-interval", year,2964
672.txt,day-month, 27 February,3013
666.txt,month, May ,687
666.txt,"month, relative-interval",day,141
100.txt,month, may ,9
100.txt,month, may ,59
100.txt,month, may ,187
100.txt,"month, relative-interval", hour ,302
100.txt,"month, relative-interval",day ,317
100.txt,"month, relative-interval", hour,1123
100.txt,"month, relative-interval", hour,1223
100.txt,"month, relative-interval", hour ,1587
128.txt,year,2002,2049
128.txt,"month, relative-interval",day ,1005
128.txt,"month, relative-interval", last year,1390
128.txt,"month, relative-interval", last year ,2148
128.txt,"month, relative-interval", month ,2260
896.txt,month, may ,2406
896.txt,"month, relative-interval", Day,1577
896.txt,"month, relative-interval", week ,2473
882.txt,month, September ,2200
882.txt,"month, relative-interval", Today ,1033
882.txt,"month, relative-interval", day ,1523
882.txt,"month, relative-interval", Year,1690
882.txt,"month, relative-interval",day,2424
882.txt,day-month, 11 September,2197
1127.txt,year,2001,337
1127.txt,"month, relative-interval",year,184
1127.txt,"month, relative-interval", next month,647
1127.txt,day-month, 8 May,168
1641.txt,month, March ,1551
1641.txt,month, October ,1561
1641.txt,year,2004,1570
1641.txt,"month, relative-interval", year ,361
1641.txt,"month, relative-interval", month,769
1655.txt,year,2005,1052
1655.txt,year,2006,5196
1655.txt,year,2006,5908
1655.txt,"month, relative-interval", last week ,569
1655.txt,"month, relative-interval", month,1090
1655.txt,"month, relative-interval", today,1163
1655.txt,"month, relative-interval", year,1357
1655.txt,"month, relative-interval", hour,4455
1655.txt,"month, relative-interval",day ,4759
1655.txt,"month, relative-interval", year,4880
1655.txt,"month, relative-interval", year ,4916
1655.txt,"month, relative-interval", month,5757
1133.txt,month, March ,305
1133.txt,month, may ,533
1133.txt,month, January ,557
1133.txt,year,2003,1832
1133.txt,"month, relative-interval", year ,872
1133.txt,"month, relative-interval",day,1089
1133.txt,"month, relative-interval",year ,1759
1669.txt,month, September ,2178
1669.txt,"month, relative-interval", month,177
1669.txt,"month, relative-interval", month,1707
470.txt,month, January ,114
470.txt,month, January ,411
470.txt,month, January ,1095
470.txt,year,2004,420
470.txt,year,2002,480
470.txt,year,2004,1047
470.txt,year,2005,1104
470.txt,"month, relative-interval", last year,156
470.txt,"month, relative-interval", month ,290
470.txt,"month, relative-interval", last month ,381
470.txt,"month, relative-interval", month,723
470.txt,"month, relative-interval", year ,759
470.txt,"month, relative-interval", year ,767
470.txt,"month, relative-interval", last year,1122
316.txt,month, may ,103
316.txt,year,2005,142
316.txt,"month, relative-interval", month,660
316.txt,"month, relative-interval", year,943
1682.txt,year,2005,310
1682.txt,year, 1974,2581
1682.txt,"month, relative-interval", yesterday ,268
1682.txt,"month, relative-interval", minute,3397
1696.txt,year, 1995,1131
1696.txt,year,2006,2222
1696.txt,"month, relative-interval", year,1719
1696.txt,"month, relative-interval", year,2002
1696.txt,"month, relative-interval", year,2138
1696.txt,"month, relative-interval", month,2165
1696.txt,"month, relative-interval", year ,2370
1696.txt,"month, relative-interval", year,2412
302.txt,month, November ,248
302.txt,month, may ,1983
302.txt,year,2002,3163
302.txt,"month, relative-interval", month,1002
302.txt,"month, relative-interval",year,1084
302.txt,"month, relative-interval", year,1242
302.txt,"month, relative-interval", year,1904
302.txt,"month, relative-interval", year,2271
302.txt,"month, relative-interval", year,2442
302.txt,"month, relative-interval", week,2791
302.txt,day-month, 8 November,246
464.txt,year,2004,629
464.txt,"month, relative-interval",year,288
464.txt,"month, relative-interval", year,690
458.txt,month, June ,211
458.txt,month, September ,1300
458.txt,year,2004,146
458.txt,"month, relative-interval", day,466
458.txt,"month, relative-interval",year,509
459.txt,"month, relative-interval", week,136
303.txt,month, may ,1040
303.txt,month, June ,1662
303.txt,month, may ,2023
303.txt,month, may ,2414
303.txt,year,2004,1668
303.txt,"month, relative-interval", last week,233
303.txt,"month, relative-interval", month,969
